guuid	gene
ENA_CABFXR010000002_CABFXR010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFXS010000003_CABFXS010000003.1.fsa_summary.txt	Tn4401a
ENA_CABFXY010000002_CABFXY010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFYB010000005_CABFYB010000005.1.fsa_summary.txt	Tn4401a
ENA_CABFYC010000004_CABFYC010000004.1.fsa_summary.txt	Tn4401a
ENA_CABFYD010000003_CABFYD010000003.1.fsa_summary.txt	Tn4401a
ENA_CABFYE010000002_CABFYE010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFYF010000002_CABFYF010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFYG010000003_CABFYG010000003.1.fsa_summary.txt	Tn4401a
ENA_CABFYH010000003_CABFYH010000003.1.fsa_summary.txt	Tn4401a
ENA_CABFYI010000002_CABFYI010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFYJ010000003_CABFYJ010000003.1.fsa_summary.txt	unknown
ENA_CABFYK010000005_CABFYK010000005.1.fsa_summary.txt	Tn4401a
ENA_CABFYL010000004_CABFYL010000004.1.fsa_summary.txt	Tn4401a
ENA_CABFYM010000002_CABFYM010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFYN010000003_CABFYN010000003.1.fsa_summary.txt	Tn4401a
ENA_CABFYQ010000002_CABFYQ010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFYR010000005_CABFYR010000005.1.fsa_summary.txt	Tn4401_truncC
ENA_CABFYS010000003_CABFYS010000003.1.fsa_summary.txt	Tn4401a
ENA_CABFYT010000008_CABFYT010000008.1.fsa_summary.txt	Tn4401a
ENA_CABFYU010000005_CABFYU010000005.1.fsa_summary.txt	Tn4401a
ENA_CABFYY010000002_CABFYY010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFYZ010000002_CABFYZ010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFZA010000002_CABFZA010000002.1.fsa_summary.txt	Tn4401a
ENA_CABFZC010000002_CABFZC010000002.1.fsa_summary.txt	Tn4401d
ENA_CABFZG010000005_CABFZG010000005.1.fsa_summary.txt	Tn4401a
ENA_CABFZH010000004_CABFZH010000004.1.fsa_summary.txt	Tn4401a
ENA_CABFZV010000006_CABFZV010000006.1.fsa_summary.txt	Tn4401a
ENA_CABFZZ010000003_CABFZZ010000003.1.fsa_summary.txt	Tn4401a
ENA_CABGAG010000002_CABGAG010000002.1.fsa_summary.txt	Tn4401a
ENA_CABGAI010000003_CABGAI010000003.1.fsa_summary.txt	Tn4401a
ENA_CABGAK010000004_CABGAK010000004.1.fsa_summary.txt	Tn4401a
ENA_CABGAO010000002_CABGAO010000002.1.fsa_summary.txt	Tn4401a
ENA_CABGAQ010000009_CABGAQ010000009.1.fsa_summary.txt	Tn4401a
ENA_CABGAR010000003_CABGAR010000003.1.fsa_summary.txt	Tn4401a
ENA_CABGAX010000009_CABGAX010000009.1.fsa_summary.txt	Tn4401a
ENA_CABGAY010000002_CABGAY010000002.1.fsa_summary.txt	Tn4401a
ENA_CABGAZ010000003_CABGAZ010000003.1.fsa_summary.txt	Tn4401a
ENA_CABGBH010000002_CABGBH010000002.1.fsa_summary.txt	Tn4401a
ENA_CABGBM010000006_CABGBM010000006.1.fsa_summary.txt	Tn4401a
ENA_CABGBR010000009_CABGBR010000009.1.fsa_summary.txt	Tn4401_truncC
ENA_CABGBS010000004_CABGBS010000004.1.fsa_summary.txt	Tn4401a
MT560060.1.fasta_summary.txt	Tn4401a
MT560061.1.fasta_summary.txt	unknown
MT560063.1.fasta_summary.txt	unknown
MT560066.1.fasta_summary.txt	Tn4401_truncC
MT560073.1.fasta_summary.txt	Tn4401a
MT560075.1.fasta_summary.txt	Tn4401a
MT560078.1.fasta_summary.txt	Tn4401a
MT560080.1.fasta_summary.txt	unknown
